Series ID,Year,Period,Label,Value
CUSR0000SA0L1E,1996,M01,1996 Jan,163.7
CUSR0000SA0L1E,1996,M02,1996 Feb,164.0
CUSR0000SA0L1E,1996,M03,1996 Mar,164.4
CUSR0000SA0L1E,1996,M04,1996 Apr,164.6
CUSR0000SA0L1E,1996,M05,1996 May,165.0
CUSR0000SA0L1E,1996,M06,1996 Jun,165.4
CUSR0000SA0L1E,1996,M07,1996 Jul,165.7
CUSR0000SA0L1E,1996,M08,1996 Aug,166.0
CUSR0000SA0L1E,1996,M09,1996 Sep,166.5
CUSR0000SA0L1E,1996,M10,1996 Oct,166.8
CUSR0000SA0L1E,1996,M11,1996 Nov,167.2
CUSR0000SA0L1E,1996,M12,1996 Dec,167.4
CUSR0000SA0L1E,1997,M01,1997 Jan,167.8
CUSR0000SA0L1E,1997,M02,1997 Feb,168.1
CUSR0000SA0L1E,1997,M03,1997 Mar,168.4
CUSR0000SA0L1E,1997,M04,1997 Apr,168.9
CUSR0000SA0L1E,1997,M05,1997 May,169.2
CUSR0000SA0L1E,1997,M06,1997 Jun,169.4
CUSR0000SA0L1E,1997,M07,1997 Jul,169.7
CUSR0000SA0L1E,1997,M08,1997 Aug,169.8
CUSR0000SA0L1E,1997,M09,1997 Sep,170.2
CUSR0000SA0L1E,1997,M10,1997 Oct,170.6
CUSR0000SA0L1E,1997,M11,1997 Nov,170.8
CUSR0000SA0L1E,1997,M12,1997 Dec,171.2
CUSR0000SA0L1E,1998,M01,1998 Jan,171.6
CUSR0000SA0L1E,1998,M02,1998 Feb,171.9
CUSR0000SA0L1E,1998,M03,1998 Mar,172.2
CUSR0000SA0L1E,1998,M04,1998 Apr,172.5
CUSR0000SA0L1E,1998,M05,1998 May,172.9
CUSR0000SA0L1E,1998,M06,1998 Jun,173.2
CUSR0000SA0L1E,1998,M07,1998 Jul,173.5
CUSR0000SA0L1E,1998,M08,1998 Aug,174.0
CUSR0000SA0L1E,1998,M09,1998 Sep,174.2
CUSR0000SA0L1E,1998,M10,1998 Oct,174.4
CUSR0000SA0L1E,1998,M11,1998 Nov,174.8
CUSR0000SA0L1E,1998,M12,1998 Dec,175.4
CUSR0000SA0L1E,1999,M01,1999 Jan,175.6
CUSR0000SA0L1E,1999,M02,1999 Feb,175.6
CUSR0000SA0L1E,1999,M03,1999 Mar,175.7
CUSR0000SA0L1E,1999,M04,1999 Apr,176.3
CUSR0000SA0L1E,1999,M05,1999 May,176.5
CUSR0000SA0L1E,1999,M06,1999 Jun,176.6
CUSR0000SA0L1E,1999,M07,1999 Jul,177.1
CUSR0000SA0L1E,1999,M08,1999 Aug,177.3
CUSR0000SA0L1E,1999,M09,1999 Sep,177.8
CUSR0000SA0L1E,1999,M10,1999 Oct,178.1
CUSR0000SA0L1E,1999,M11,1999 Nov,178.4
CUSR0000SA0L1E,1999,M12,1999 Dec,178.7
CUSR0000SA0L1E,2000,M01,2000 Jan,179.3
CUSR0000SA0L1E,2000,M02,2000 Feb,179.4
CUSR0000SA0L1E,2000,M03,2000 Mar,180.0
CUSR0000SA0L1E,2000,M04,2000 Apr,180.3
CUSR0000SA0L1E,2000,M05,2000 May,180.7
CUSR0000SA0L1E,2000,M06,2000 Jun,181.1
CUSR0000SA0L1E,2000,M07,2000 Jul,181.5
CUSR0000SA0L1E,2000,M08,2000 Aug,181.9
CUSR0000SA0L1E,2000,M09,2000 Sep,182.3
CUSR0000SA0L1E,2000,M10,2000 Oct,182.6
CUSR0000SA0L1E,2000,M11,2000 Nov,183.1
CUSR0000SA0L1E,2000,M12,2000 Dec,183.3
CUSR0000SA0L1E,2001,M01,2001 Jan,183.9
CUSR0000SA0L1E,2001,M02,2001 Feb,184.4
CUSR0000SA0L1E,2001,M03,2001 Mar,184.7
CUSR0000SA0L1E,2001,M04,2001 Apr,185.1
CUSR0000SA0L1E,2001,M05,2001 May,185.3
CUSR0000SA0L1E,2001,M06,2001 Jun,186.0
CUSR0000SA0L1E,2001,M07,2001 Jul,186.4
CUSR0000SA0L1E,2001,M08,2001 Aug,186.7
CUSR0000SA0L1E,2001,M09,2001 Sep,187.1
CUSR0000SA0L1E,2001,M10,2001 Oct,187.4
CUSR0000SA0L1E,2001,M11,2001 Nov,188.1
CUSR0000SA0L1E,2001,M12,2001 Dec,188.4
CUSR0000SA0L1E,2002,M01,2002 Jan,188.7
CUSR0000SA0L1E,2002,M02,2002 Feb,189.1
CUSR0000SA0L1E,2002,M03,2002 Mar,189.2
CUSR0000SA0L1E,2002,M04,2002 Apr,189.7
CUSR0000SA0L1E,2002,M05,2002 May,190.0
CUSR0000SA0L1E,2002,M06,2002 Jun,190.2
CUSR0000SA0L1E,2002,M07,2002 Jul,190.5
CUSR0000SA0L1E,2002,M08,2002 Aug,191.1
CUSR0000SA0L1E,2002,M09,2002 Sep,191.3
CUSR0000SA0L1E,2002,M10,2002 Oct,191.5
CUSR0000SA0L1E,2002,M11,2002 Nov,191.9
CUSR0000SA0L1E,2002,M12,2002 Dec,192.1
CUSR0000SA0L1E,2003,M01,2003 Jan,192.4
CUSR0000SA0L1E,2003,M02,2003 Feb,192.5
CUSR0000SA0L1E,2003,M03,2003 Mar,192.5
CUSR0000SA0L1E,2003,M04,2003 Apr,192.5
CUSR0000SA0L1E,2003,M05,2003 May,192.9
CUSR0000SA0L1E,2003,M06,2003 Jun,193.0
CUSR0000SA0L1E,2003,M07,2003 Jul,193.4
CUSR0000SA0L1E,2003,M08,2003 Aug,193.6
CUSR0000SA0L1E,2003,M09,2003 Sep,193.7
CUSR0000SA0L1E,2003,M10,2003 Oct,194.0
CUSR0000SA0L1E,2003,M11,2003 Nov,194.0
CUSR0000SA0L1E,2003,M12,2003 Dec,194.2
CUSR0000SA0L1E,2004,M01,2004 Jan,194.6
CUSR0000SA0L1E,2004,M02,2004 Feb,194.9
CUSR0000SA0L1E,2004,M03,2004 Mar,195.5
CUSR0000SA0L1E,2004,M04,2004 Apr,195.9
CUSR0000SA0L1E,2004,M05,2004 May,196.2
CUSR0000SA0L1E,2004,M06,2004 Jun,196.6
CUSR0000SA0L1E,2004,M07,2004 Jul,196.8
CUSR0000SA0L1E,2004,M08,2004 Aug,196.9
CUSR0000SA0L1E,2004,M09,2004 Sep,197.5
CUSR0000SA0L1E,2004,M10,2004 Oct,197.9
CUSR0000SA0L1E,2004,M11,2004 Nov,198.3
CUSR0000SA0L1E,2004,M12,2004 Dec,198.6
CUSR0000SA0L1E,2005,M01,2005 Jan,199.0
CUSR0000SA0L1E,2005,M02,2005 Feb,199.4
CUSR0000SA0L1E,2005,M03,2005 Mar,200.1
CUSR0000SA0L1E,2005,M04,2005 Apr,200.2
CUSR0000SA0L1E,2005,M05,2005 May,200.5
CUSR0000SA0L1E,2005,M06,2005 Jun,200.6
CUSR0000SA0L1E,2005,M07,2005 Jul,200.9
CUSR0000SA0L1E,2005,M08,2005 Aug,201.1
CUSR0000SA0L1E,2005,M09,2005 Sep,201.3
CUSR0000SA0L1E,2005,M10,2005 Oct,202.0
CUSR0000SA0L1E,2005,M11,2005 Nov,202.5
CUSR0000SA0L1E,2005,M12,2005 Dec,202.8
CUSR0000SA0L1E,2006,M01,2006 Jan,203.2
CUSR0000SA0L1E,2006,M02,2006 Feb,203.6
CUSR0000SA0L1E,2006,M03,2006 Mar,204.3
CUSR0000SA0L1E,2006,M04,2006 Apr,204.8
CUSR0000SA0L1E,2006,M05,2006 May,205.4
CUSR0000SA0L1E,2006,M06,2006 Jun,205.9
CUSR0000SA0L1E,2006,M07,2006 Jul,206.3
CUSR0000SA0L1E,2006,M08,2006 Aug,206.8
CUSR0000SA0L1E,2006,M09,2006 Sep,207.2
CUSR0000SA0L1E,2006,M10,2006 Oct,207.6
CUSR0000SA0L1E,2006,M11,2006 Nov,207.8
CUSR0000SA0L1E,2006,M12,2006 Dec,208.1
CUSR0000SA0L1E,2007,M01,2007 Jan,208.600
CUSR0000SA0L1E,2007,M02,2007 Feb,209.135
CUSR0000SA0L1E,2007,M03,2007 Mar,209.418
CUSR0000SA0L1E,2007,M04,2007 Apr,209.747
CUSR0000SA0L1E,2007,M05,2007 May,210.058
CUSR0000SA0L1E,2007,M06,2007 Jun,210.392
CUSR0000SA0L1E,2007,M07,2007 Jul,210.773
CUSR0000SA0L1E,2007,M08,2007 Aug,211.119
CUSR0000SA0L1E,2007,M09,2007 Sep,211.554
CUSR0000SA0L1E,2007,M10,2007 Oct,212.077
CUSR0000SA0L1E,2007,M11,2007 Nov,212.660
CUSR0000SA0L1E,2007,M12,2007 Dec,213.168
CUSR0000SA0L1E,2008,M01,2008 Jan,213.771
CUSR0000SA0L1E,2008,M02,2008 Feb,213.939
CUSR0000SA0L1E,2008,M03,2008 Mar,214.420
CUSR0000SA0L1E,2008,M04,2008 Apr,214.560
CUSR0000SA0L1E,2008,M05,2008 May,214.936
CUSR0000SA0L1E,2008,M06,2008 Jun,215.424
CUSR0000SA0L1E,2008,M07,2008 Jul,215.965
CUSR0000SA0L1E,2008,M08,2008 Aug,216.393
CUSR0000SA0L1E,2008,M09,2008 Sep,216.713
CUSR0000SA0L1E,2008,M10,2008 Oct,216.788
CUSR0000SA0L1E,2008,M11,2008 Nov,216.947
CUSR0000SA0L1E,2008,M12,2008 Dec,216.925
CUSR0000SA0L1E,2009,M01,2009 Jan,217.346
CUSR0000SA0L1E,2009,M02,2009 Feb,217.792
CUSR0000SA0L1E,2009,M03,2009 Mar,218.253
CUSR0000SA0L1E,2009,M04,2009 Apr,218.706
CUSR0000SA0L1E,2009,M05,2009 May,218.904
CUSR0000SA0L1E,2009,M06,2009 Jun,219.112
CUSR0000SA0L1E,2009,M07,2009 Jul,219.263
CUSR0000SA0L1E,2009,M08,2009 Aug,219.496
CUSR0000SA0L1E,2009,M09,2009 Sep,219.920
CUSR0000SA0L1E,2009,M10,2009 Oct,220.501
CUSR0000SA0L1E,2009,M11,2009 Nov,220.666
CUSR0000SA0L1E,2009,M12,2009 Dec,220.881
CUSR0000SA0L1E,2010,M01,2010 Jan,220.633
CUSR0000SA0L1E,2010,M02,2010 Feb,220.731
CUSR0000SA0L1E,2010,M03,2010 Mar,220.783
CUSR0000SA0L1E,2010,M04,2010 Apr,220.822
CUSR0000SA0L1E,2010,M05,2010 May,220.962
CUSR0000SA0L1E,2010,M06,2010 Jun,221.194
CUSR0000SA0L1E,2010,M07,2010 Jul,221.363
CUSR0000SA0L1E,2010,M08,2010 Aug,221.509
CUSR0000SA0L1E,2010,M09,2010 Sep,221.711
CUSR0000SA0L1E,2010,M10,2010 Oct,221.830
CUSR0000SA0L1E,2010,M11,2010 Nov,222.149
CUSR0000SA0L1E,2010,M12,2010 Dec,222.343
CUSR0000SA0L1E,2011,M01,2011 Jan,222.803
CUSR0000SA0L1E,2011,M02,2011 Feb,223.213
CUSR0000SA0L1E,2011,M03,2011 Mar,223.454
CUSR0000SA0L1E,2011,M04,2011 Apr,223.727
CUSR0000SA0L1E,2011,M05,2011 May,224.175
CUSR0000SA0L1E,2011,M06,2011 Jun,224.697
CUSR0000SA0L1E,2011,M07,2011 Jul,225.218
CUSR0000SA0L1E,2011,M08,2011 Aug,225.862
CUSR0000SA0L1E,2011,M09,2011 Sep,226.118
CUSR0000SA0L1E,2011,M10,2011 Oct,226.506
CUSR0000SA0L1E,2011,M11,2011 Nov,226.899
CUSR0000SA0L1E,2011,M12,2011 Dec,227.405
CUSR0000SA0L1E,2012,M01,2012 Jan,227.877
CUSR0000SA0L1E,2012,M02,2012 Feb,228.034
CUSR0000SA0L1E,2012,M03,2012 Mar,228.478
CUSR0000SA0L1E,2012,M04,2012 Apr,228.905
CUSR0000SA0L1E,2012,M05,2012 May,229.224
CUSR0000SA0L1E,2012,M06,2012 Jun,229.623
CUSR0000SA0L1E,2012,M07,2012 Jul,229.970
CUSR0000SA0L1E,2012,M08,2012 Aug,230.233
CUSR0000SA0L1E,2012,M09,2012 Sep,230.659
CUSR0000SA0L1E,2012,M10,2012 Oct,231.024
CUSR0000SA0L1E,2012,M11,2012 Nov,231.330
CUSR0000SA0L1E,2012,M12,2012 Dec,231.725
CUSR0000SA0L1E,2013,M01,2013 Jan,232.229
CUSR0000SA0L1E,2013,M02,2013 Feb,232.569
CUSR0000SA0L1E,2013,M03,2013 Mar,232.794
CUSR0000SA0L1E,2013,M04,2013 Apr,232.832
CUSR0000SA0L1E,2013,M05,2013 May,232.996
CUSR0000SA0L1E,2013,M06,2013 Jun,233.350
CUSR0000SA0L1E,2013,M07,2013 Jul,233.880
CUSR0000SA0L1E,2013,M08,2013 Aug,234.336
CUSR0000SA0L1E,2013,M09,2013 Sep,234.700
CUSR0000SA0L1E,2013,M10,2013 Oct,234.921
CUSR0000SA0L1E,2013,M11,2013 Nov,235.359
CUSR0000SA0L1E,2013,M12,2013 Dec,235.759
CUSR0000SA0L1E,2014,M01,2014 Jan,235.961
CUSR0000SA0L1E,2014,M02,2014 Feb,236.185
CUSR0000SA0L1E,2014,M03,2014 Mar,236.625
CUSR0000SA0L1E,2014,M04,2014 Apr,237.072
CUSR0000SA0L1E,2014,M05,2014 May,237.529
CUSR0000SA0L1E,2014,M06,2014 Jun,237.837
CUSR0000SA0L1E,2014,M07,2014 Jul,238.195
CUSR0000SA0L1E,2014,M08,2014 Aug,238.405
CUSR0000SA0L1E,2014,M09,2014 Sep,238.786
CUSR0000SA0L1E,2014,M10,2014 Oct,239.191
CUSR0000SA0L1E,2014,M11,2014 Nov,239.458
CUSR0000SA0L1E,2014,M12,2014 Dec,239.584
CUSR0000SA0L1E,2015,M01,2015 Jan,239.811
CUSR0000SA0L1E,2015,M02,2015 Feb,240.172
CUSR0000SA0L1E,2015,M03,2015 Mar,240.755
CUSR0000SA0L1E,2015,M04,2015 Apr,241.346
CUSR0000SA0L1E,2015,M05,2015 May,241.688
CUSR0000SA0L1E,2015,M06,2015 Jun,242.064
CUSR0000SA0L1E,2015,M07,2015 Jul,242.565
CUSR0000SA0L1E,2015,M08,2015 Aug,242.817
CUSR0000SA0L1E,2015,M09,2015 Sep,243.316
CUSR0000SA0L1E,2015,M10,2015 Oct,243.768
CUSR0000SA0L1E,2015,M11,2015 Nov,244.241
CUSR0000SA0L1E,2015,M12,2015 Dec,244.547
CUSR0000SA0L1E,2016,M01,2016 Jan,244.955
CUSR0000SA0L1E,2016,M02,2016 Feb,245.510
CUSR0000SA0L1E,2016,M03,2016 Mar,245.913
CUSR0000SA0L1E,2016,M04,2016 Apr,246.551
CUSR0000SA0L1E,2016,M05,2016 May,247.137
CUSR0000SA0L1E,2016,M06,2016 Jun,247.540
CUSR0000SA0L1E,2016,M07,2016 Jul,247.829
CUSR0000SA0L1E,2016,M08,2016 Aug,248.423
CUSR0000SA0L1E,2016,M09,2016 Sep,248.842
CUSR0000SA0L1E,2016,M10,2016 Oct,249.142
CUSR0000SA0L1E,2016,M11,2016 Nov,249.481
CUSR0000SA0L1E,2016,M12,2016 Dec,249.920
CUSR0000SA0L1E,2017,M01,2017 Jan,250.467
CUSR0000SA0L1E,2017,M02,2017 Feb,250.998
CUSR0000SA0L1E,2017,M03,2017 Mar,250.944
CUSR0000SA0L1E,2017,M04,2017 Apr,251.227
CUSR0000SA0L1E,2017,M05,2017 May,251.430
CUSR0000SA0L1E,2017,M06,2017 Jun,251.746
CUSR0000SA0L1E,2017,M07,2017 Jul,251.985
CUSR0000SA0L1E,2017,M08,2017 Aug,252.535
CUSR0000SA0L1E,2017,M09,2017 Sep,252.812
CUSR0000SA0L1E,2017,M10,2017 Oct,253.526
CUSR0000SA0L1E,2017,M11,2017 Nov,253.816
CUSR0000SA0L1E,2017,M12,2017 Dec,254.344
CUSR0000SA0L1E,2018,M01,2018 Jan,255.204
CUSR0000SA0L1E,2018,M02,2018 Feb,255.711
CUSR0000SA0L1E,2018,M03,2018 Mar,256.271
CUSR0000SA0L1E,2018,M04,2018 Apr,256.630
CUSR0000SA0L1E,2018,M05,2018 May,257.145
CUSR0000SA0L1E,2018,M06,2018 Jun,257.399
CUSR0000SA0L1E,2018,M07,2018 Jul,257.699
CUSR0000SA0L1E,2018,M08,2018 Aug,257.891
CUSR0000SA0L1E,2018,M09,2018 Sep,258.368
CUSR0000SA0L1E,2018,M10,2018 Oct,258.917
CUSR0000SA0L1E,2018,M11,2018 Nov,259.439
CUSR0000SA0L1E,2018,M12,2018 Dec,260.063
CUSR0000SA0L1E,2019,M01,2019 Jan,260.766
CUSR0000SA0L1E,2019,M02,2019 Feb,261.186
CUSR0000SA0L1E,2019,M03,2019 Mar,261.567
CUSR0000SA0L1E,2019,M04,2019 Apr,261.997
CUSR0000SA0L1E,2019,M05,2019 May,262.217
CUSR0000SA0L1E,2019,M06,2019 Jun,262.739
CUSR0000SA0L1E,2019,M07,2019 Jul,263.280
CUSR0000SA0L1E,2019,M08,2019 Aug,263.877
CUSR0000SA0L1E,2019,M09,2019 Sep,264.388
CUSR0000SA0L1E,2019,M10,2019 Oct,264.970
CUSR0000SA0L1E,2019,M11,2019 Nov,265.548
CUSR0000SA0L1E,2019,M12,2019 Dec,266.020
CUSR0000SA0L1E,2020,M01,2020 Jan,266.698
CUSR0000SA0L1E,2020,M02,2020 Feb,267.402
CUSR0000SA0L1E,2020,M03,2020 Mar,267.068
CUSR0000SA0L1E,2020,M04,2020 Apr,265.796
CUSR0000SA0L1E,2020,M05,2020 May,265.461
CUSR0000SA0L1E,2020,M06,2020 Jun,265.839
CUSR0000SA0L1E,2020,M07,2020 Jul,267.373
CUSR0000SA0L1E,2020,M08,2020 Aug,268.390
CUSR0000SA0L1E,2020,M09,2020 Sep,268.900
CUSR0000SA0L1E,2020,M10,2020 Oct,269.280
CUSR0000SA0L1E,2020,M11,2020 Nov,269.967
CUSR0000SA0L1E,2020,M12,2020 Dec,270.340
CUSR0000SA0L1E,2021,M01,2021 Jan,270.422
CUSR0000SA0L1E,2021,M02,2021 Feb,270.813
CUSR0000SA0L1E,2021,M03,2021 Mar,271.461
CUSR0000SA0L1E,2021,M04,2021 Apr,273.665
CUSR0000SA0L1E,2021,M05,2021 May,275.494
CUSR0000SA0L1E,2021,M06,2021 Jun,277.585
CUSR0000SA0L1E,2021,M07,2021 Jul,278.612
CUSR0000SA0L1E,2021,M08,2021 Aug,278.993
CUSR0000SA0L1E,2021,M09,2021 Sep,279.710
CUSR0000SA0L1E,2021,M10,2021 Oct,281.623
CUSR0000SA0L1E,2021,M11,2021 Nov,283.393
CUSR0000SA0L1E,2021,M12,2021 Dec,285.221
CUSR0000SA0L1E,2022,M01,2022 Jan,286.811
CUSR0000SA0L1E,2022,M02,2022 Feb,288.287
CUSR0000SA0L1E,2022,M03,2022 Mar,289.041
CUSR0000SA0L1E,2022,M04,2022 Apr,290.515
CUSR0000SA0L1E,2022,M05,2022 May,292.072
CUSR0000SA0L1E,2022,M06,2022 Jun,293.972
CUSR0000SA0L1E,2022,M07,2022 Jul,295.055
CUSR0000SA0L1E,2022,M08,2022 Aug,296.569
CUSR0000SA0L1E,2022,M09,2022 Sep,298.284
CUSR0000SA0L1E,2022,M10,2022 Oct,299.351
CUSR0000SA0L1E,2022,M11,2022 Nov,300.292
CUSR0000SA0L1E,2022,M12,2022 Dec,301.423
CUSR0000SA0L1E,2023,M01,2023 Jan,302.709
CUSR0000SA0L1E,2023,M02,2023 Feb,304.124
CUSR0000SA0L1E,2023,M03,2023 Mar,305.112
CUSR0000SA0L1E,2023,M04,2023 Apr,306.539
CUSR0000SA0L1E,2023,M05,2023 May,307.646
CUSR0000SA0L1E,2023,M06,2023 Jun,308.245
CUSR0000SA0L1E,2023,M07,2023 Jul,308.945
CUSR0000SA0L1E,2023,M08,2023 Aug,309.656
CUSR0000SA0L1E,2023,M09,2023 Sep,310.644
CUSR0000SA0L1E,2023,M10,2023 Oct,311.390
CUSR0000SA0L1E,2023,M11,2023 Nov,312.349
CUSR0000SA0L1E,2023,M12,2023 Dec,313.209
CUSR0000SA0L1E,2024,M01,2024 Jan,314.438
CUSR0000SA0L1E,2024,M02,2024 Feb,315.565
CUSR0000SA0L1E,2024,M03,2024 Mar,316.698
CUSR0000SA0L1E,2024,M04,2024 Apr,317.622
CUSR0000SA0L1E,2024,M05,2024 May,318.140
CUSR0000SA0L1E,2024,M06,2024 Jun,318.346
